C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3906.HEIC,Other|vehicles|car^People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3911.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3913.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3917.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3919.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3921.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3922.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3925.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3928.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3930.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3934.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3937.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3938.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3941.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3946.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3947.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3956.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3959.HEIC,
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3962.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3969.HEIC,People
C:\Users\nickk\OneDrive\photo collections\Pictures\good 2025-09\2025-09-01 Sedona by iPhone 3970.HEIC,People
